Conta;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
6.1.3 - Benefícios;-731397,3103;-883841,754;-906981,8268;-881488,5288;-736211,3528;-621763,1413;-776023,6504;-537498,9835;-649012,2707;-731545,2056;-891987,7591;-817721,6186
6.2.1 - Serviços Terceirizados;-18666,56949;-18903,83603;-18568,35858;-23182,4268;-22275,53613;-15167,88633;-23646,08567;-21564,48349;-15330,10434;-16172,21656;-18927,32542;-22943,2167
6.2.2 - Peças;-60433,33892;-54881,28387;-63537,5071;-68562,17087;-43077,54898;-76111,28695;-44327,42964;-63945,11488;-60438,89349;-74535,83748;-54490,57094;-44933,99028
6.3.1 - Links de Internet;-1780,946145;-1996,811689;-2175,92781;-2168,426581;-2136,64379;-1827,217344;-1464,266989;-1330,805703;-1901,437361;-1712,812247;-2097,290703;-1655,859958
6.3.2 - Serviços Cloud;-4041,583261;-4302,660521;-3056,951159;-4623,013623;-4014,247694;-3971,367587;-4504,321634;-2897,305905;-2898,144211;-3622,61621;-2830,495434;-2879,163944
6.3.3 - Licenças de Software;-2857,674908;-2789,79612;-2491,757879;-3510,339417;-2030,700432;-2543,130596;-2195,861493;-2790,929856;-2133,629579;-3421,773915;-3344,872537;-2246,724038
6.3.4 - Consultorias em TI;-2031,224367;-2177,954816;-1462,396364;-1622,072681;-1937,040363;-2370,310612;-2572,18972;-2343,835485;-2161,521211;-1716,326271;-1764,574905;-2320,013466
6.4 - Aluguéis;-88611,04083;-75789,56728;-106784,1681;-75629,62489;-90132,51925;-87617,07689;-109467,8891;-81380,22064;-63528,21737;-69997,54363;-108267,9675;-113389,9269
6.5 - Materiais de Segurança;-5208,61985;-5686,081641;-4635,102481;-6609,930776;-5695,043755;-3682,994932;-4346,782403;-4646,302773;-4069,983497;-6682,53449;-4698,760086;-5770,851618
6.6 - Materiais de Escritório;-14267,74945;-15803,0421;-14886,77537;-11478,58167;-12760,52768;-10079,61764;-14843,10422;-10639,1435;-17067,35597;-13955,25893;-15355,47641;-16907,06988
6.7.1 - Hospedagem;-2652,477965;-3322,937883;-2155,190392;-2209,194468;-3336,023277;-2635,327707;-2324,655851;-2832,835732;-3421,207967;-3126,563033;-2386,64513;-2194,152221
6.7.2 - Pássagens aéreas;-1434,814003;-1301,176817;-1080,616274;-1695,418109;-1418,678905;-1653,294145;-1572,169556;-1847,717764;-1238,414866;-1127,635774;-1193,473979;-1337,53333
6.7.3 - Alimentação;-166,1695847;-205,8951283;-169,2532207;-172,0858966;-162,65531;-117,7993461;-206,9377872;-187,236319;-209,6207518;-166,9839909;-134,918228;-164,8741483
6.8 - Outras despesas;-6203,427457;-6406,676807;-6691,847307;-6796,896809;-4683,799365;-4925,509424;-6942,37477;-5993,552382;-7591,600473;-5153,120572;-6417,472369;-4679,971251
8.1 - Despesas Bancárias;-48083,12833;-49544,74622;-39756,30324;-34710,79107;-47237,73455;-35772,86107;-55167,83707;-49439,37445;-55887,86065;-45820,34912;-58789,01114;-41887,10662
8.2 - Receita Aplicações;779919,6476;940823,8504;749748,8459;644800,4225;741900,0818;917176,3825;866527,7177;560850,4996;986868,0612;996355,482;560561,2378;771525,5844
8.3.1 - Perdas Mercado Variável;-164187,6045;-173461,6119;-189676,1669;-127731,8437;-155271,7715;-117838,058;-209059,7291;-167330,3849;-126926,3253;-180171,8959;-195131,693;-144479,7311
8.3.2 - Ganhos Mercado Variável;218021,1663;200616,6387;157858,657;253333,9593;190106,2323;201286,1835;281462,3395;218294,0746;213355,0394;188611,405;218708,7381;251359,6878
8.4 - Juros sobre empréstimos;-545587,3515;-388373,3328;-436141,2888;-695315,7863;-600604,6207;-591985,5098;-507072,1008;-544148,7103;-605510,2931;-416423,6716;-708465,3792;-608406,5054
10 - Imposto de Renda / CSLL;-897690,0528;-1117425,407;-893543,691;-1014420,656;-1103068,361;-804970,6472;-1126877,597;-685413,0819;-813853,4715;-987936,0713;-666138,984;-955590,0628
